x,q1,q2,q3
0.717718,0.259386,0.240399,1.314931
0.718719,0.257168,0.236395,1.308057
0.719720,0.257168,0.236395,1.308057
0.720721,0.254959,0.232412,1.301199
0.721722,0.254959,0.232412,1.301199
0.722723,0.252760,0.228453,1.294358
0.723724,0.252760,0.228453,1.294358
0.724725,0.250573,0.224516,1.287536
0.725726,0.250573,0.224516,1.287536
0.726727,0.248396,0.220605,1.280734
0.727728,0.248396,0.220605,1.280734
0.728729,0.246232,0.216720,1.273955
0.729730,0.246232,0.216720,1.273955
0.730731,0.244080,0.212862,1.267199
0.731732,0.244080,0.212862,1.267199
0.732733,0.241941,0.209032,1.260468
0.733734,0.241941,0.209032,1.260468
0.734735,0.239815,0.205231,1.253765
0.735736,0.239815,0.205231,1.253765
0.736737,0.237703,0.201461,1.247091
0.737738,0.237703,0.201461,1.247091
0.738739,0.235606,0.197722,1.240447
0.739740,0.235606,0.197722,1.240447
0.740741,0.233523,0.194016,1.233836
0.741742,0.233523,0.194016,1.233836
0.742743,0.231456,0.190343,1.227259
0.743744,0.231456,0.190343,1.227259
0.744745,0.229404,0.186705,1.220717
0.745746,0.229404,0.186705,1.220717
0.746747,0.227369,0.183102,1.214214
0.747748,0.227369,0.183102,1.214214
0.748749,0.225351,0.179536,1.207749
0.749750,0.225351,0.179536,1.207749
0.750751,0.223349,0.176007,1.201325
0.751752,0.223349,0.176007,1.201325
0.752753,0.221366,0.172516,1.194944
0.753754,0.221366,0.172516,1.194944
0.754755,0.219400,0.169064,1.188608
0.755756,0.219400,0.169064,1.188608
0.756757,0.217453,0.165652,1.182317
0.757758,0.217453,0.165652,1.182317
0.758759,0.215525,0.162280,1.176074
0.759760,0.215525,0.162280,1.176074
0.760761,0.213617,0.158950,1.169880
0.761762,0.213617,0.158950,1.169880
0.762763,0.211728,0.155662,1.163736
0.763764,0.211728,0.155662,1.163736
0.764765,0.209860,0.152417,1.157645
0.765766,0.209860,0.152417,1.157645
0.766767,0.208012,0.149215,1.151608
0.767768,0.208012,0.149215,1.151608
0.768769,0.206185,0.146057,1.145626
0.769770,0.206185,0.146057,1.145626
0.770771,0.204379,0.142944,1.139701
0.771772,0.204379,0.142944,1.139701
0.772773,0.202595,0.139875,1.133834
0.773774,0.202595,0.139875,1.133834
0.774775,0.200833,0.136853,1.128026
0.775776,0.200833,0.136853,1.128026
0.776777,0.199093,0.133876,1.122280
0.777778,0.199093,0.133876,1.122280
